tiempo;valor;maker;bp;dx;sq;ma
3.45;2.490234375;0;0.306363336;-21.58832377;466.0557231;148.6448686
75.445;2.485351563;0;0.119199247;-6.969523129;48.57425264;37.90325361
75.45;2.397460938;0;0.084351632;-9.590404829;91.97586479;36.95062906
95.065;2.377929688;0;0.284367266;-6.437369434;41.43972523;53.5881922
134.13;2.36328125;0;0.288040416;-5.485736478;30.09330471;47.94978398
82.16;2.348632813;0;0.287376096;-6.155829227;37.89423347;44.59709704
72.225;2.338867188;0;0.299660934;-3.948488286;15.59055975;48.33653097
4.18;2.333984375;0;0.268048151;-0.505112411;0.255138548;38.6761714
4.185;2.329101563;0;0.265522589;-6.409338751;41.07962323;39.72074074
17.045;2.32421875;0;0.284564237;-6.510461918;42.38611439;43.61033585
156.345;2.319335938;0;0.275543229;-6.545235345;42.84010572;42.608405
63.835;2.314453125;0;0.298139148;-4.677702827;21.88090373;47.45094221
30.065;2.3046875;0;0.26006165;-7.581632015;57.48114401;40.30225436
61.94;2.3046875;0;0.289964562;-5.55687378;30.87884621;46.91468756
139.995;2.3046875;1;0.293467654;-5.823345852;33.91135692;46.85870025
5.045;2.299804688;0;0.267892597;-4.672525066;21.83249049;14.47427463
76.215;2.294921875;0;0.299307582;-25.13278191;631.6567267;164.7327253
0.69;2.28515625;0;0.302729253;-5.719122285;32.70835971;51.18452217
72.23;2.28515625;0;0.279918493;-10.34793623;107.0797841;51.78959623
81.335;2.280273438;0;0.284514845;-7.727984874;59.72175022;47.65106691
83.13;2.275390625;0;0.270846665;-8.559866404;73.27131286;44.7328989
9.94;2.270507813;0;0.278572652;-5.099811155;26.00807382;41.42789288
68.635;2.270507813;0;0.295552947;-3.623817128;13.13205058;46.92671512
88.095;2.270507813;1;0.284367694;-7.483703798;56.00582253;47.35076757
90.975;2.270507813;0;0.291329846;-2.843562695;8.085848803;45.30261463
163.16;2.270507813;0;0.286917109;-5.21115041;27.1560886;44.36814674
35.415;2.265625;0;0.284594728;-5.808778248;33.74190473;43.5832538
75.93;2.265625;0;0.071218227;-12.37382554;153.1115586;141.8332169
115.37;2.265625;0;0.290453071;-5.706907077;32.56878839;43.88624075
151.495;2.265625;0;0.286055633;-2.970605946;8.824499688;44.71752589
108.84;2.260742188;0;0.264977768;-6.168356576;38.04862285;37.37597235
5.96;2.255859375;0;0.278313754;-6.211446372;38.58206604;44.1700592
95.07;2.255859375;0;0.252180418;-12.40628359;153.9158724;58.71872128
7.905;2.250976563;0;0.275942035;-3.949765992;15.60065139;40.25431907
45.36;2.250976563;0;0.270196246;-4.252625629;18.08482474;41.47408875
135.145;2.250976563;0;0.26208795;-9.2958047;86.41198501;38.17751289
159.32;2.250976563;0;0.27427855;-5.46867675;29.9064254;39.63471532
